name,address,tel,category_no,category,genre,ticket_type,geocode_address,error_reason,_source,_page
ローソン日本橋かぶと町,日本橋兜町1-13先,03-6231-0504,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋兜町1-13,住所に「先」を含む特殊表記,tempo_260601.pdf,2
ＷＡＳＨ 西銀座デパート１Ｆ店,銀座4-1先　西銀座デパート1F,03-3566-4707,2,織物、衣類、身の回り品小売業,婦人靴・バッグ,all,東京都中央区銀座4-1,住所に「先」を含む特殊表記,tempo_260601.pdf,3
銀座ワシントン 西銀座デパート１Ｆ店,銀座4-1先　西銀座デパート1F,03-3566-4056,2,織物、衣類、身の回り品小売業,婦人靴・バッグ,all,東京都中央区銀座4-1,住所に「先」を含む特殊表記,tempo_260601.pdf,3
銀座ペピアン,銀座5-1先　銀座ファイブ1F,03-6263-0508,2,織物、衣類、身の回り品小売業,婦人服,all,東京都中央区銀座5-1,住所に「先」を含む特殊表記,tempo_260601.pdf,3
銀座大和屋,銀座8-7先　銀座ナイン2号館1階,03-3571-0744,2,織物、衣類、身の回り品小売業,ハンドバッグ・小物・財布,all,東京都中央区銀座8-7,住所に「先」を含む特殊表記,tempo_260601.pdf,3
婦人洋品たけや,銀座8-7先　銀座ナイン2号館1階,03-3571-3797,2,織物、衣類、身の回り品小売業,婦人洋品,all,東京都中央区銀座8-7,住所に「先」を含む特殊表記,tempo_260601.pdf,3
アシックス商事㈱アシックスウォーキング銀座インズ店,銀座西2−2先　銀座インズ2 1階,03-3562-5355,2,織物、衣類、身の回り品小売業,靴,all,東京都中央区銀座西2−2,住所に「先」を含む特殊表記,tempo_260601.pdf,3
Hiromi & Co. Patisserie,日本橋大伝馬町14-8　岩並ビル1階 https://hiromiandco.com/contact/,,3,菓子、パン,洋菓子店,all,東京都中央区日本橋大伝馬町14-8,電話番号なし,tempo_260601.pdf,4
東北料理 みちのく,銀座2-2先　銀座インズ2-2階,03-3561-5336,13,和食、日本料理、そば、天ぷら、もんじゃ、お好み焼き,日本料理,all,東京都中央区銀座2-2,住所に「先」を含む特殊表記,tempo_260601.pdf,14
そば 俺のだし GINZA5,銀座5-1先　銀座ファイブ地下1F,03-6274-6894,13,和食、日本料理、そば、天ぷら、もんじゃ、お好み焼き,そば、居酒屋,all,東京都中央区銀座5-1,住所に「先」を含む特殊表記,tempo_260601.pdf,14
銀座 吉宗,銀座8-7先　銀座ナイン2号館 B1F,03-6274-6002,13,和食、日本料理、そば、天ぷら、もんじゃ、お好み焼き,和食,all,東京都中央区銀座8-7,住所に「先」を含む特殊表記,tempo_260601.pdf,14
銀座ライオン 銀座インズ店,銀座西2-2先　銀座インズ2-2階,03-3564-4792,15,その他飲食店,飲食店,all,東京都中央区銀座西2-2,住所に「先」を含む特殊表記,tempo_260601.pdf,19
ジェラートミキ築地,築地2-10-9　HARVEY築地1F,,15,その他飲食店,ジェラート,all,東京都中央区築地2-10-9,電話番号なし,tempo_260601.pdf,20
Ａｒｃ ｔｈｅ ｂｏｄｙ,築地7　※詳細はメールでお問合せ下さい arcthebody@gmail.com,,19,はり、鍼灸、接骨院等,ボディメンテナンス・整体,all,東京都中央区築地7,電話番号なし; 電話番号がメールアドレス; 住所が「詳細はお問合せ」表記,tempo_260601.pdf,26
Ｓａｌｏｎ ＥＲＩＭＥＳ サロンエリメス,銀座　（info@erimes.com）,メ-ル予約制,23,理美容,エステ・小顔矯正・美顔教室,all,東京都中央区銀座,電話番号が無効; 電話番号がメールアドレス; 住所に番地なし,tempo_260601.pdf,28
Ｈｅａｌｉｎｇ ｈｅａｒｔ ｇｒａｃｅ,銀座3　※詳細はお電話でお問合せ下さい,03-6312-4604,23,理美容,ｾﾗﾋﾟｽﾄｴｽﾃﾏｯｻｰｼﾞ,all,東京都中央区銀座3,住所が「詳細はお問合せ」表記,tempo_260601.pdf,28
ＳＴＵＤＩＯ ＣＡＡＰＡＨ(ﾖｶﾞｽﾀｼﾞｵ ﾁｬｰﾊﾞ),日本橋中洲1-9　パシフィック浜町1F s.caapah@gmail.com,,24,その他のサービス業,ヨガスタジオ,all,東京都中央区日本橋中洲1-9,電話番号なし; 電話番号がメールアドレス,tempo_260601.pdf,30
ｔｏｋｙｏｅｉｇｏ．ｃｏｍ,日本橋浜町2-19-3　神谷ビル1F info@tokyoeigo.com,,24,その他のサービス業,英会話教室,all,東京都中央区日本橋浜町2-19-3,電話番号なし; 電話番号がメールアドレス,tempo_260601.pdf,30
