name,address,tel,category_no,category,genre,ticket_type,geocode_address,note,contact
セブンイレブン中央区明石町店,明石町2-1,03-3248-0478,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区明石町2-1,,
セブンイレブン聖路加タワー店,明石町8-1　聖路加タワー1階,03-3547-7881,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区明石町8-1,,
ローソンＨ入船一丁目店,入船1-3-1,03-3523-1150,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区入船1-3-1,,
セブンイレブン中央区入船３丁目店,入船3-1-13,03-5541-4028,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区入船3-1-13,,
セブンイレブン勝どきグロウスタウン店,勝どき1-3-3　アパートメンツタワー勝どき1F,03-6220-4557,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区勝どき1-3-3,,
セブンイレブン勝どき駅前店,勝どき1-8-1-102,03-6219-7710,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区勝どき1-8-1-102,,
ローソン勝どき二丁目店,勝どき2-15-1,03-3532-3963,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区勝どき2-15-1,,
ファミリーマート勝どき三丁目,勝どき3-2-3　1階,03-5547-2010,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区勝どき3-2-3,,
ローソンパークタワー勝どきミッド,勝どき4丁目6番2号,03-3534-9220,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区勝どき4丁目6番2号,,
セブンイレブン勝どき５丁目店,勝どき5-3-2,03-5548-0077,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区勝どき5-3-2,,
ナチュラルローソン京橋一丁目,京橋1-10-7,03-3566-8777,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区京橋1-10-7,,
ローソンＳ清水建設新社屋店,京橋2-16-1,03-5524-5105,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区京橋2-16-1,,
ナチュラルローソン東京スクエアガーデン３階店,京橋3-1-1-3,03-5204-2045,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区京橋3-1-1-3,,
セブンイレブン銀座1丁目中央店,銀座1-10-6,03-3562-5077,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座1-10-6,,
